month_key,year_num,month_num,risk_tier,customer_months,bill_amount_sum,credit_limit_sum,delinquent_months
200509,2005,9,HIGH,3130,197038144,335846000,3130
200505,2005,5,MEDIUM,2282,184112012,184136000,0
200508,2005,8,MEDIUM,4397,477450358,477993680,28
200504,2005,4,HIGH,3079,152817541,312826000,3079
200507,2005,7,HIGH,4209,198887323,441820000,4209
200505,2005,5,LOW,24750,878117485,4545273680,0
200508,2005,8,LOW,21193,773249489,4084680000,0
200506,2005,6,MEDIUM,2985,275629571,275676000,2
200506,2005,6,HIGH,3508,165345329,355570000,3508
200504,2005,4,LOW,24864,851004698,4548173680,0
200507,2005,7,LOW,21866,809559796,4184846000,0
200509,2005,9,MEDIUM,8151,607127296,1051083680,3688
200505,2005,5,HIGH,2968,147112532,295120000,2968
200508,2005,8,HIGH,4410,224672408,461856000,4410
200506,2005,6,LOW,23507,856913569,4393283680,0
200509,2005,9,LOW,18719,732534487,3637600000,0
200504,2005,4,MEDIUM,2057,162330573,163530000,0
200507,2005,7,MEDIUM,3925,401947525,397863680,4
